rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
113,2001,2h 2m,15,8.3,(797K),70,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.", Am̩lie
114,1997,2h 14m,PG,8.3,(437K),76,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.", Princess Mononoke
115,2010,1h 43m,PG,8.3,(897K),92,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.", Toy Story 3
116,1958,2h 8m,PG,8.3,(429K),100,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.", Vertigo
117,1931,1h 57m,PG,8.3,(169K),,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.", M
118,1964,1h 35m,PG,8.3,(520K),97,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.", Dr
119,1962,3h 38m,PG,8.3,(316K),100,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.", Lawrence of Arabia
120,1962,2h 9m,PG,8.3,(334K),88,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.", To Kill a Mockingbird
121,1941,1h 59m,A,8.3,(468K),100,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'", Citizen Kane
122,1960,2h 5m,PG,8.3,(198K),94,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.", The Apartment
123,1927,2h 33m,PG,8.3,(186K),98,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.", Metropolis
124,1959,2h 16m,PG,8.3,(348K),98,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.", North by Northwest
125,1952,1h 43m,U,8.3,(262K),99,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood., Singin' in the Rain
126,1973,2h 9m,PG,8.3,(281K),83,Two grifters team up to pull off the ultimate con., The Sting
127,2016,2h 41m,PG,8.3,(213K),,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression., Dangal
128,2011,2h 3m,PG,8.3,(260K),95,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease., A Separation
129,1961,2h 59m,PG,8.3,(86K),60,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.", Judgment at Nuremberg
130,1944,1h 47m,A,8.3,(168K),95,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.", Double Indemnity
131,1952,2h 23m,PG,8.3,(88K),92,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer., Ikiru
132,2007,2h 42m,PG,8.3,(208K),,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.", Like Stars on Earth
133,1948,1h 29m,U,8.3,(176K),,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.", Bicycle Thieves
134,2022,2h 46m,15,8.3,(151K),,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy.", K
135,2019,2h 23m,12A,8.3,(64K),,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.", Chhichhore
136,2022,2h 55m,15,8.3,(75K),,"A special investigator discovers a case of serial killings is not what it seems to be, and leading down this path is only going to end in a war between everyone involved.", Vikram
137,2021,2h 15m,16,8.3,(130K),,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.", Shershaah
138,2018,2h 26m,Not Rated,8.3,(51K),,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally., Raatchasan
139,2013,2h 40m,12A,8.3,(44K),,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime., Drishyam
140,2022,2h 10m,12A,8.2,(710K),78,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.", Top Gun: Maverick
141,2013,3h,18,8.2,(1.6M),75,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.", The Wolf of Wall Street
142,2003,1h 51m,18,8.2,(1.2M),69,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.", Kill Bill: Vol
143,1993,2h 7m,PG,8.2,(1.1M),68,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose., Jurassic Park
144,2007,2h 2m,15,8.2,(1.1M),92,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande., No Country for Old Men
145,2019,1h 59m,15,8.2,(683K),78,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",1917
146,2021,2h 28m,12A,8.2,(888K),71,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.", Spider-Man: No Way Home
147,1999,1h 47m,15,8.2,(1.1M),64,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.", The Sixth Sense
148,2010,2h 18m,15,8.2,(1.5M),63,"Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.", Shutter Island
149,2018,2h 10m,12A,8.2,(579K),69,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South., Green Book
150,2013,2h 33m,15,8.2,(816K),70,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.", Prisoners
151,1998,1h 43m,PG,8.2,(1.2M),90,An insurance salesman discovers his whole life is actually a reality TV show., The Truman Show
152,1976,1h 54m,18,8.2,(927K),94,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.", Taxi Driver
153,2005,2h 20m,12A,8.2,(1.6M),70,"After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.", Batman Begins
154,2007,2h 38m,12A,8.2,(644K),93,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.", There Will Be Blood
155,2000,1h 44m,18,8.2,(915K),55,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.", Snatch
156,1982,1h 49m,X,8.2,(470K),57,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims., The Thing
157,2001,2h 15m,12,8.2,(992K),72,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.", A Beautiful Mind
158,2003,1h 40m,U,8.2,(1.1M),90,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.", Finding Nemo
